"Row-names","Symbol","LB-Bile___log2FoldChange","LB-Bile___padj","data","LB_Rep1","LB_Rep2","Bile_Rep1","Bile_Rep2"
"VP1401",NA,-0.0171561937129424,0.989589735066416," ",8.52978377388942,8.36865364334645,8.68333202321345,8.25299752286514
"VP1402",NA,0.461342772213204,0.711285709720309," ",9.11058571586716,8.65197690254861,8.65559286675046,8.23180151109433
"VP1403",NA,0.327626587000484,0.891871847154188," ",10.6629479544842,10.0639682045064,10.3654844321057,9.70910167937475
"VP1404",NA,0.0609892985828787,0.97837797989295," ",7.59734571510512,7.63234273939321,7.64182993876634,7.47987695663252
"VP1405",NA,-0.0483674198732744,0.980174429223246," ",9.16230398852336,9.02037311091161,9.25130494935795,9.03770732693124
"VP1406",NA,0.108014452554048,0.956651811603238," ",9.90194428615654,9.79640834876945,9.89768060802566,9.58179508615114
"VP1407",NA,-0.0328947686756432,0.988381637217289," ",11.0227295702416,10.1764837825399,11.2096295083772,9.89811101742622
"VP1408",NA,-0.411857015307182,0.8927866555748," ",11.9707505446611,11.2351374425262,12.5634420573629,11.2891755279487
"VP1409",NA,-0.148473854821468,0.961029831691774," ",10.594942876147,9.87970061698156,10.8174774074969,9.91298359522299
"VP1410",NA,-0.0577871960713586,0.983762004370929," ",7.22175858340633,6.80201550890787,7.60362721892564,6.41904579626045
"VP1411",NA,-0.238841382377896,0.937976204626558," ",8.90856942295611,8.56836715882627,9.40359663136154,8.43711594604608
"VP1412",NA,-0.233005982825042,0.947486741358109," ",6.92391877526744,6.85001439779694,7.62285502666794,6.45200595235229
"VP1413",NA,-0.361640052516954,0.917031012180381," ",8.462062849575,8.07753365757487,9.12887799955663,7.95546320679606
"VP1414",NA,-0.723745425681008,0.656696471637949," ",7.36283416452576,6.91914513047915,8.38981635885741,7.14398874986882
"VP1415",NA,-0.267935143639988,0.829599529250755," ",11.4783981791276,11.5640256008569,11.8600966533427,11.7158445115498
"VP1416",NA,-0.399050698645022,0.642802721532609," ",10.7147879919575,10.5569204131774,11.1245028900439,10.9469480460915
"VP1417",NA,-0.483618217259905,0.52417133590232," ",11.0196483314533,10.6665291343594,11.4152253444927,11.2586447635094
"VP1418",NA,-0.434809660112443,0.699513228399786," ",7.34861724935001,7.24053658670363,7.85196378709874,7.61334636697732
"VP1419",NA,0.0527589272225595,0.979523538038763," ",10.2614804897527,10.5277046839141,10.2215549064238,10.456902392189
"VP1420",NA,0.122773189329221,0.953309967520926," ",9.92188624833796,10.2982607564377,9.93661866123826,10.05249724958
"VP1421",NA,0.0186509576050668,0.989589735066416," ",7.69890157073773,7.75085804424819,7.48254640409674,7.86657934621034
"VP1422",NA,0.12644733154298,0.954817944176738," ",11.1699704213372,10.9389931387879,10.6282653937263,11.1809024533014
"VP1423",NA,0.0416335613960296,0.985862151076533," ",10.8909762920839,10.4244908402793,11.0571905636368,10.0498082762471
"VP1425",NA,0.245597799999028,0.937976204626558," ",8.16829911469123,8.04697109210623,8.27296613348081,7.37636644467092
"VP1426",NA,0.113228256411813,0.953309967520926," ",12.8689864556705,13.0422347577921,12.7732036208555,12.9124621251352
"VP1427",NA,0.765257012172844,0.189018776928363," ",10.8398017115417,11.2441464383816,10.0861098420016,10.4655031652892
"VP1428",NA,0.289974106331018,0.924115522526777," ",8.3199150839564,9.05662113496648,8.18514785297442,8.64024554186802
"VP1429",NA,0.230264134448978,0.931671641767307," ",7.80683453234315,8.07753365757487,7.48254640409674,7.8847996089081
"VP1430",NA,0.351568463425654,0.738461009162856," ",12.332307805031,12.533982149173,11.9522858834058,12.2051076055163
